DAY,Section,ROOM1,8 to 9,9 to 10,10 to 11,ROOM2,11 to 12,12 to 1,1 to 2,Section(DE),ROOM3,3 to 4,ROOM4,4 to 5,ROOM5,5 to 6
WED,CSE-20,X,X,X,X,C-LH-401,CN,SE,DAA,AI_CS-16,X,X,X,X,X,X
WED,CSE-21,C-LH-306,X,X,SE,C-WL-103,DAA,DAA(L),DAA(L),AI_CS-17,X,X,X,X,X,X
WED,CSE-22,C-LH-307,X,X,DAA,C-LH-308,SE,CN,HPC,AI_CS-18,X,X,X,X,X,X
WED,CSE-23,C-WL-202,CN,CN(L),CN(L),C-LH-307,HPC,X,X,AI_CS-19,X,X,X,X,X,X
WED,CSE-24,C-LH-308,SE,CN,HPC,C-LH-306,DAA,X,X,AI_CS-20,X,X,X,X,X,X
WED,CSE-25,C-LH-401,X,X,DAA,C-LH-305,CN,SE,HPC,BD_CS-1,X,X,X,X,C-LH-201,BD(DE)
WED,CSE-26,C-LH-402,X,X,SE,C-WL-201,DAA,DAA(L),DAA(L),BD_CS-2,X,X,X,X,C-LH-202,BD(DE)
WED,IT-1,C-WL-301,DAA,DAA(L),DAA(L),C-LH-304,SE,X,X,BD_CS-3,X,X,X,X,C-LH-203,BD(DE)
WED,IT-2,C-LH-403,X,IOT,SE,C-LH-303,CN,X,X,BD_CS-4,X,X,X,X,C-LH-204,BD(DE)
WED,IT-3,X,X,X,X,C-WL-202,CN,CN(L),CN(L),BD_CS-5,X,X,X,X,C-LH-205,BD(DE)
WED,IT-4,X,X,X,X,C-WL-301,DAA,DAA(L),DAA(L),BD_CS-6,X,X,X,X,C-LH-206,BD(DE)
WED,IT-5,C-LH-404,X,X,CN,C-LH-302,SE,X,X,BD_CS-7,X,X,X,X,C-LH-207,BD(DE)
WED,IT-6,C-LH-405,X,SE,DAA,C-LH-301,IOT,X,X,BD_CS-8,X,X,X,X,C-LH-208,BD(DE)
WED,IT-7,C-LH-406,X,X,CN,C-LH-208,SE,X,X,BD_CS-9,X,X,X,X,C-LH-301,BD(DE)
WED,CSCE-1,C-LH-407,X,X,SE,C-WL-302,DAA,DAA(L),DAA(L),BD_CS-10,X,X,X,X,C-LH-302,BD(DE)
WED,CSCE-2,C-LH-408,X,SE,DAA,C-LH-207,DBMS,X,X,BD_CS-11,X,X,X,X,C-LH-303,BD(DE)
WED,CSCE-3,C-LH-409,X,DAA,CN,C-LH-206,DBMS,SE,X,BD_CS-12,X,X,X,X,C-LH-304,BD(DE)
WED,CSSE-1,C-WL-302,X,AP(L),AP(L),C-LH-205,IOT,SE,X,BD_CS-13,X,X,X,X,C-LH-305,BD(DE)
WED,CSSE-2,C-LH-001,X,IOT,SE,C-LH-204,CN,X,X,BD_CS-14,C-LH-201,BD(DE),X,X,X,X
WED,CSSE-3,C-WL-401,CN,CN(L),CN(L),C-LH-203,SE,X,X,BD_CS-15,C-LH-202,BD(DE),X,X,X,X
WED,X,X,X,X,X,X,X,X,X,BD_CS-16,C-LH-203,BD(DE),X,X,X,X
WED,X,X,X,X,X,X,X,X,X,BD_CS-17,C-LH-204,BD(DE),X,X,X,X
WED,X,X,X,X,X,X,X,X,X,BD_CS-18,C-LH-205,BD(DE),X,X,X,X
WED,X,X,X,X,X,X,X,X,X,DMDW_CS-1,X,X,X,X,C-LH-306,DMDW(DE)
WED,X,X,X,X,X,X,X,X,X,DMDW_CS-2,X,X,X,X,C-LH-307,DMDW(DE)
WED,X,X,X,X,X,X,X,X,X,DMDW_CS-3,X,X,X,X,C-LH-308,DMDW(DE)
WED,X,X,X,X,X,X,X,X,X,DMDW_CS-4,X,X,X,X,C-LH-401,DMDW(DE)
WED,X,X,X,X,X,X,X,X,X,CI_CS-1,X,X,X,X,C-LH-402,CI(DE)
WED,X,X,X,X,X,X,X,X,X,CI_CS-2,X,X,X,X,C-LH-403,CI(DE)
WED,X,X,X,X,X,X,X,X,X,CI_CS-3,X,X,X,X,C-LH-404,CI(DE)
WED,X,X,X,X,X,X,X,X,X,CI_CS-4,X,X,X,X,C-LH-405,CI(DE)
WED,X,X,X,X,X,X,X,X,X,DMDW_IT-1,X,X,C-LH-401,DMDW(DE),X,X
WED,X,X,X,X,X,X,X,X,X,DMDW_IT-2,X,X,C-LH-402,DMDW(DE),X,X
WED,X,X,X,X,X,X,X,X,X,DMDW_IT-3,X,X,C-LH-403,DMDW(DE),X,X
WED,X,X,X,X,X,X,X,X,X,DMDW_IT-4,X,X,C-LH-404,DMDW(DE),X,X
WED,X,X,X,X,X,X,X,X,X,DMDW_IT-5,X,X,C-LH-405,DMDW(DE),X,X
WED,X,X,X,X,X,X,X,X,X,DMDW_IT-6,X,X,C-LH-406,DMDW(DE),X,X
WED,X,X,X,X,X,X,X,X,X,CRP_IT-1,X,X,X,X,X,X
WED,X,X,X,X,X,X,X,X,X,CRP_IT-2,X,X,C-LH-407,CRP(DE),X,X
WED,X,X,X,X,X,X,X,X,X,CI_IT-1,X,X,X,X,C-LH-406,CI(DE)
WED,X,X,X,X,X,X,X,X,X,BD_IT-1,C-LH-206,BD(DE),X,X,X,X
WED,X,X,X,X,X,X,X,X,X,BD_IT-2,C-LH-207,BD(DE),X,X,X,X
WED,X,X,X,X,X,X,X,X,X,BD_IT-3,C-LH-208,BD(DE),X,X,X,X
WED,X,X,X,X,X,X,X,X,X,BD_IT-4,C-LH-301,BD(DE),X,X,X,X
WED,X,X,X,X,X,X,X,X,X,BD_IT-5,C-LH-302,BD(DE),X,X,X,X
WED,X,X,X,X,X,X,X,X,X,BD_IT-6,C-LH-303,BD(DE),X,X,X,X
WED,X,X,X,X,X,X,X,X,X,CG_IT-1,X,X,X,X,C-LH-407,CG(DE)
WED,X,X,X,X,X,X,X,X,X,CRP_CE-1,X,X,X,X,X,X
WED,X,X,X,X,X,X,X,X,X,AI_CE-1,X,X,X,X,X,X
WED,X,X,X,X,X,X,X,X,X,AI_CE-2,X,X,C-LH-408,AI(DE),X,X
WED,X,X,X,X,X,X,X,X,X,ITC_CE-1,X,X,X,X,C-LH-408,ITC(DE)
WED,X,X,X,X,X,X,X,X,X,ITC_CE-2,X,X,X,X,C-LH-409,ITC(DE)
WED,X,X,X,X,X,X,X,X,X,PMM_CE-1,X,X,X,X,C-LH-001,PMM(DE)
WED,X,X,X,X,X,X,X,X,X,NLP_SE-1,X,X,C-LH-409,NLP(DE),X,X
WED,X,X,X,X,X,X,X,X,X,NLP_SE-2,X,X,X,X,X,X
WED,X,X,X,X,X,X,X,X,X,CI_SE-1,X,X,C-LH-001,CI(DE),X,X
WED,X,X,X,X,X,X,X,X,X,ML_SE-1,X,X,X,X,C-LH-002,ML(DE)
WED,X,X,X,X,X,X,X,X,X,ML_SE-2,X,X,X,X,C-LH-003,ML(DE)
WED,X,X,X,X,X,X,X,X,X,ML_SE-3,X,X,X,X,C-LH-004,ML(DE)
THU,CSE-1,C-WL-101,DAA,DAA(L),DAA(L),C-LH-004,SE,HPC,X,CRP_CS-1,X,X,C-LH-201,CRP(DE),X,X
THU,CSE-2,C-LH-201,X,X,HPC,C-WL-101,DAA,DAA(L),DAA(L),CRP_CS-2,X,X,C-LH-202,CRP(DE),X,X
THU,CSE-3,C-LH-202,X,HPC,SE,C-WL-102,DAA,DAA(L),DAA(L),CRP_CS-3,X,X,C-LH-203,CRP(DE),X,X
THU,CSE-4,C-WL-102,CN,CN(L),CN(L),X,X,X,X,CRP_CS-4,X,X,C-LH-204,CRP(DE),X,X
THU,CSE-5,C-LH-203,X,CN,SE,C-LH-003,HPC,X,X,AI_CS-1,C-LH-201,AI(DE),X,X,X,X
THU,CSE-6,C-LH-204,X,X,CN,C-LH-002,DAA,HPC,SE,AI_CS-2,X,X,C-LH-205,AI(DE),X,X
THU,CSE-7,C-LH-205,X,SE,HPC,C-WL-103,DAA,DAA(L),DAA(L),AI_CS-3,X,X,C-LH-206,AI(DE),X,X
THU,CSE-8,C-LH-206,X,X,HPC,C-LH-001,DAA,SE,X,AI_CS-4,X,X,C-LH-207,AI(DE),X,X
THU,CSE-9,C-WL-103,CN,CN(L),CN(L),C-LH-409,SE,X,X,AI_CS-5,X,X,C-LH-208,AI(DE),X,X
THU,CSE-10,X,X,X,X,C-LH-408,HPC,SE,X,AI_CS-6,X,X,C-LH-301,AI(DE),X,X
THU,CSE-11,C-LH-207,X,X,SE,C-LH-407,CN,HPC,X,AI_CS-7,X,X,C-LH-302,AI(DE),X,X
THU,CSE-12,C-LH-208,X,HPC,SE,C-WL-201,DAA,DAA(L),DAA(L),AI_CS-8,X,X,C-LH-303,AI(DE),X,X
THU,CSE-13,C-LH-301,X,HPC,SE,C-LH-406,CN,X,X,AI_CS-9,X,X,C-LH-304,AI(DE),X,X
THU,CSE-14,C-WL-201,CN,CN(L),CN(L),C-LH-405,HPC,SE,X,AI_CS-10,X,X,C-LH-305,AI(DE),X,X
THU,CSE-15,C-LH-302,X,CN,DAA,C-LH-404,HPC,SE,X,AI_CS-11,X,X,C-LH-306,AI(DE),X,X
THU,CSE-16,C-LH-303,X,X,SE,C-LH-403,CN,HPC,X,AI_CS-12,X,X,C-LH-307,AI(DE),X,X
THU,CSE-17,C-LH-304,X,SE,HPC,C-WL-202,DAA,DAA(L),DAA(L),AI_CS-13,X,X,C-LH-308,AI(DE),X,X
THU,CSE-18,C-LH-305,X,X,HPC,C-LH-402,CN,SE,X,AI_CS-14,C-LH-202,AI(DE),X,X,X,X
THU,CSE-19,X,X,X,X,C-WL-301,CN,CN(L),CN(L),AI_CS-15,C-LH-203,AI(DE),X,X,X,X
THU,CSE-20,C-LH-306,X,HPC,SE,C-WL-302,CN,CN(L),CN(L),AI_CS-16,C-LH-204,AI(DE),X,X,X,X
THU,CSE-21,C-LH-307,X,HPC,SE,C-LH-401,DAA,X,X,AI_CS-17,C-LH-205,AI(DE),X,X,X,X
THU,CSE-22,C-LH-308,X,X,SE,C-LH-308,DAA,HPC,X,AI_CS-18,C-LH-206,AI(DE),X,X,X,X
THU,CSE-23,C-LH-401,X,DAA,HPC,C-LH-307,SE,CN,X,AI_CS-19,C-LH-207,AI(DE),X,X,X,X
THU,CSE-24,C-WL-202,CN,CN(L),CN(L),X,X,X,X,AI_CS-20,C-LH-208,AI(DE),X,X,X,X
THU,CSE-25,C-LH-402,SE,CN,DAA,X,X,X,X,BD_CS-1,X,X,X,X,X,X
THU,CSE-26,C-LH-403,X,X,HPC,C-LH-306,SE,X,X,BD_CS-2,X,X,X,X,X,X
THU,IT-1,X,X,X,X,C-LH-305,DAA,X,X,BD_CS-3,X,X,X,X,X,X
THU,IT-2,C-LH-404,X,SE,IOT,C-WL-401,DAA,DAA(L),DAA(L),BD_CS-4,X,X,X,X,X,X
